Rank,Player,Team,Role,Category,Pool,Grade,Rating,Sub_Scoring,Sub_Impact,Sub_Consistency,Sub_Experience,Matches,Bat_Runs,Bat_SR,Bat_Average,Legacy,URL,Sub_WicketTaking,Sub_Economy,Sub_Efficiency,Bowl_Wickets,Bowl_Eco,Bowl_Avg,Sub_Batting,Sub_Bowling,Sub_Versatility,Nationality
123,Ayush Mhatre,Chennai Super Kings,Batsman,BAT,BAT_WK,C,61,8.0,99.0,85.0,33,7.0,240.0,188.98,34.29,0,https://www.cricbuzz.com/profiles/1431163/ayush-mhatre,,,,,,,,,,Indian
89,Dhruv Jurel,Rajasthan Royals,WK-Batsman,WK,BAT_WK,C,67,16.0,81.0,71.0,50,41.0,680.0,153.85,28.33,0,https://www.cricbuzz.com/profiles/14691/dhruv-jurel,,,,,,,,,,Indian
80,Lockie Ferguson,Punjab Kings,Bowler,BOWL,BOWL,C,69,,,,54,49.0,,,,0,https://www.cricbuzz.com/profiles/10692/lockie-ferguson,36.0,56.0,74.0,51.0,8.97,30.0,,,,New Zealander
155,Swapnil Singh,Royal Challengers Bengaluru,Bowling Allrounder,AR,AR,C,56,,,,37,14.0,51.0,,,0,https://www.cricbuzz.com/profiles/10238/swapnil-singh,,,,7.0,,,23.0,27.0,23.0,Indian
47,Yashasvi Jaiswal,Rajasthan Royals,Batsman,BAT,BAT_WK,B,75,43.0,80.0,85.0,63,66.0,2166.0,152.86,34.38,0,https://www.cricbuzz.com/profiles/13940/yashasvi-jaiswal,,,,,,,,,,Indian
101,Umran Malik,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,65,,,,43,26.0,,,,0,https://www.cricbuzz.com/profiles/19027/umran-malik,22.0,49.0,81.0,29.0,9.4,26.62,,,,Indian
111,Ryan Rickelton,Mumbai Indians,WK-Batsman,WK,BAT_WK,C,62,11.0,79.0,74.0,37,14.0,388.0,150.98,29.85,0,https://www.cricbuzz.com/profiles/13070/ryan-rickelton,,,,,,,,,,South African
73,Tim David,Royal Challengers Bengaluru,Batsman,BAT,BAT_WK,B,70,19.0,94.0,81.0,55,50.0,846.0,173.37,32.54,0,https://www.cricbuzz.com/profiles/13169/tim-david,,,,,,,,,,Singaporean
43,Abhishek Sharma,Sunrisers Hyderabad,Batting Allrounder,AR,AR,B,77,,,,68,77.0,1815.0,,,2,https://www.cricbuzz.com/profiles/12086/abhishek-sharma,,,,11.0,,,90.0,24.0,24.0,Indian
88,Harshit Rana,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,67,,,,46,33.0,,,,0,https://www.cricbuzz.com/profiles/24729/harshit-rana,29.0,47.0,83.0,40.0,9.51,25.73,,,,Indian
58,Riyan Parag,Rajasthan Royals,Batting Allrounder,AR,AR,B,73,,,,71,83.0,1566.0,,,2,https://www.cricbuzz.com/profiles/12305/riyan-parag,,,,7.0,,,78.0,16.0,16.0,Indian
63,T Natarajan,Delhi Capitals,Bowler,BOWL,BOWL,B,72,,,,61,63.0,,,,0,https://www.cricbuzz.com/profiles/10225/t-natarajan,47.0,57.0,74.0,67.0,8.94,30.12,,,,Indian
115,Rachin Ravindra,Kolkata Knight Riders,Batting Allrounder,AR,AR,C,62,,,,39,18.0,413.0,,,0,https://www.cricbuzz.com/profiles/11177/rachin-ravindra,,,,0.0,,,49.0,29.0,29.0,New Zealander
114,Mitchell Santner,Mumbai Indians,Bowling Allrounder,AR,AR,C,62,,,,45,31.0,110.0,,,0,https://www.cricbuzz.com/profiles/10100/mitchell-santner,,,,25.0,,,25.0,40.0,25.0,New Zealander
32,David Miller,Delhi Capitals,Batsman,BAT,BAT_WK,B,80,60.0,70.0,89.0,99,141.0,3077.0,138.61,35.78,0,https://www.cricbuzz.com/profiles/6349/david-miller,,,,,,,,,,South African
85,Mohsin Khan,Lucknow Super Giants,Bowler,BOWL,BOWL,C,67,,,,42,24.0,,,,0,https://www.cricbuzz.com/profiles/13534/mohsin-khan,21.0,64.0,83.0,27.0,8.51,25.52,,,,Indian
57,Jofra Archer,Rajasthan Royals,Bowler,BOWL,BOWL,B,73,,,,56,52.0,,,,0,https://www.cricbuzz.com/profiles/11540/jofra-archer,41.0,74.0,80.0,59.0,7.89,27.15,,,,English
150,Adam Milne,Rajasthan Royals,Bowler,BOWL,BOWL,C,56,,,,35,10.0,,,,0,https://www.cricbuzz.com/profiles/7625/adam-milne,8.0,48.0,38.0,7.0,9.48,46.71,,,,New Zealander
61,Travis Head,Sunrisers Hyderabad,Batsman,BAT,BAT_WK,B,72,25.0,92.0,86.0,49,38.0,1146.0,170.03,34.73,0,https://www.cricbuzz.com/profiles/8497/travis-head,,,,,,,,,,Australian
46,Avesh Khan,Lucknow Super Giants,Bowler,BOWL,BOWL,B,76,,,,67,75.0,,,,0,https://www.cricbuzz.com/profiles/9781/avesh-khan,60.0,54.0,77.0,87.0,9.12,28.29,,,,Indian
13,Axar Patel,Delhi Capitals,Bowling Allrounder,AR,AR,A,91,,,,99,162.0,1916.0,,,6,https://www.cricbuzz.com/profiles/8808/axar-patel,,,,128.0,,,82.0,72.0,72.0,Indian
158,Arjun Tendulkar,Lucknow Super Giants,Bowling Allrounder,AR,AR,C,55,,,,32,5.0,13.0,,,0,https://www.cricbuzz.com/profiles/13747/arjun-tendulkar,,,,3.0,,,32.0,23.0,23.0,Indian
125,Vaibhav Suryavanshi,Rajasthan Royals,Batsman,BAT,BAT_WK,C,61,9.0,99.0,89.0,33,7.0,252.0,206.56,36.0,0,https://www.cricbuzz.com/profiles/51791/vaibhav-suryavanshi,,,,,,,,,,Indian
60,Noor Ahmad,Chennai Super Kings,Bowler,BOWL,BOWL,B,72,,,,48,37.0,,,,0,https://www.cricbuzz.com/profiles/15452/noor-ahmad,34.0,71.0,90.0,48.0,8.08,22.23,,,,Afghan
137,Jayant Yadav,Gujarat Titans,Bowling Allrounder,AR,AR,C,58,,,,40,20.0,40.0,,,0,https://www.cricbuzz.com/profiles/8182/jayant-yadav,,,,8.0,,,22.0,25.0,22.0,Indian
3,Jasprit Bumrah,Mumbai Indians,Bowler,BOWL,BOWL,A,99,,,,99,145.0,,,,8,https://www.cricbuzz.com/profiles/9311/jasprit-bumrah,99.0,84.0,91.0,183.0,7.25,22.03,,,,Indian
103,Priyansh Arya,Punjab Kings,Batsman,BAT,BAT_WK,C,64,13.0,98.0,70.0,38,17.0,475.0,179.25,27.94,0,https://www.cricbuzz.com/profiles/14689/priyansh-arya,,,,,,,,,,Indian
84,Cameron Green,Kolkata Knight Riders,Batting Allrounder,AR,AR,C,68,,,,44,29.0,707.0,,,0,https://www.cricbuzz.com/profiles/12225/cameron-green,,,,16.0,,,64.0,27.0,27.0,Australian
6,Rohit Sharma,Mumbai Indians,Batsman,BAT,BAT_WK,A,96,99.0,66.0,74.0,99,272.0,7046.0,132.1,29.73,8,https://www.cricbuzz.com/profiles/576/rohit-sharma,,,,,,,,,,Indian
133,Kyle Jamieson,Delhi Capitals,Bowler,BOWL,BOWL,C,59,,,,36,13.0,,,,0,https://www.cricbuzz.com/profiles/9441/kyle-jamieson,12.0,45.0,74.0,14.0,9.67,29.71,,,,New Zealander
94,Will Jacks,Mumbai Indians,Batting Allrounder,AR,AR,C,66,,,,40,21.0,463.0,,,0,https://www.cricbuzz.com/profiles/12258/will-jacks,,,,8.0,,,55.0,28.0,28.0,English
17,Mohammed Shami,Lucknow Super Giants,Bowler,BOWL,BOWL,A,89,,,,89,119.0,,,,4,https://www.cricbuzz.com/profiles/7909/mohammed-shami,89.0,62.0,78.0,133.0,8.63,28.18,,,,Indian
139,Nandre Burger,Rajasthan Royals,Bowler,BOWL,BOWL,C,58,,,,32,5.0,,,,0,https://www.cricbuzz.com/profiles/13630/nandre-burger,8.0,63.0,94.0,7.0,8.53,20.71,,,,South African
157,Manimaran Siddharth,Lucknow Super Giants,Bowler,BOWL,BOWL,C,55,,,,32,5.0,,,,0,https://www.cricbuzz.com/profiles/12930/manimaran-siddharth,5.0,62.0,40.0,3.0,8.63,46.0,,,,Indian
42,Ruturaj Gaikwad,Chennai Super Kings,Batsman,BAT,BAT_WK,B,77,49.0,70.0,99.0,65,71.0,2502.0,137.48,40.35,0,https://www.cricbuzz.com/profiles/11813/ruturaj-gaikwad,,,,,,,,,,Indian
97,Ramandeep Singh,Kolkata Knight Riders,Batting Allrounder,AR,AR,C,66,,,,45,30.0,217.0,,,0,https://www.cricbuzz.com/profiles/12337/ramandeep-singh,,,,6.0,,,46.0,35.0,35.0,Indian
132,Kuldeep Sen,Rajasthan Royals,Bowler,BOWL,BOWL,C,59,,,,36,12.0,,,,0,https://www.cricbuzz.com/profiles/14336/kuldeep-sen,12.0,45.0,79.0,14.0,9.63,27.64,,,,Indian
128,Yash Thakur,Punjab Kings,Bowler,BOWL,BOWL,C,61,,,,40,21.0,,,,0,https://www.cricbuzz.com/profiles/12096/yash-thakur,20.0,32.0,72.0,25.0,10.43,30.8,,,,Indian
54,Heinrich Klaasen,Sunrisers Hyderabad,WK-Batsman,WK,BAT_WK,B,74,31.0,91.0,99.0,54,49.0,1480.0,169.73,40.0,0,https://www.cricbuzz.com/profiles/10209/heinrich-klaasen,,,,,,,,,,South African
29,Mohammed Siraj,Gujarat Titans,Bowler,BOWL,BOWL,B,83,,,,84,108.0,,,,2,https://www.cricbuzz.com/profiles/10808/mohammed-siraj,74.0,60.0,72.0,109.0,8.74,30.72,,,,Indian
154,Nuwan Thushara,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,C,56,,,,34,8.0,,,,0,https://www.cricbuzz.com/profiles/18509/nuwan-thushara,9.0,49.0,71.0,9.0,9.43,31.44,,,,Sri Lankan
107,Shahbaz Ahmed,Lucknow Super Giants,Bowling Allrounder,AR,AR,C,64,,,,59,58.0,545.0,,,0,https://www.cricbuzz.com/profiles/14606/shahbaz-ahmed,,,,22.0,,,43.0,27.0,27.0,Indian
95,Nehal Wadhera,Punjab Kings,Batsman,BAT,BAT_WK,C,66,17.0,73.0,66.0,48,36.0,719.0,142.95,26.63,0,https://www.cricbuzz.com/profiles/13915/nehal-wadhera,,,,,,,,,,Indian
96,Vaibhav Arora,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,66,,,,46,32.0,,,,0,https://www.cricbuzz.com/profiles/15861/vaibhav-arora,27.0,47.0,78.0,36.0,9.55,28.22,,,,Indian
64,Shreyas Gopal,Chennai Super Kings,Bowler,BOWL,BOWL,B,72,,,,56,52.0,,,,0,https://www.cricbuzz.com/profiles/9746/shreyas-gopal,37.0,69.0,83.0,52.0,8.16,25.92,,,,Indian
51,Sam Curran,Rajasthan Royals,Bowling Allrounder,AR,AR,B,74,,,,62,64.0,997.0,,,2,https://www.cricbuzz.com/profiles/10420/sam-curran,,,,59.0,,,62.0,41.0,41.0,English
126,Nathan Ellis,Chennai Super Kings,Bowler,BOWL,BOWL,C,61,,,,38,17.0,,,,0,https://www.cricbuzz.com/profiles/15480/nathan-ellis,16.0,61.0,77.0,19.0,8.67,28.74,,,,Australian
11,Sandeep Sharma,Rajasthan Royals,Bowler,BOWL,BOWL,A,93,,,,98,136.0,,,,4,https://www.cricbuzz.com/profiles/8356/sandeep-sharma,98.0,71.0,78.0,146.0,8.03,27.88,,,,Indian
118,Aniket Verma,Sunrisers Hyderabad,Batsman,BAT,BAT_WK,C,62,8.0,89.0,65.0,37,14.0,236.0,166.2,26.22,0,https://www.cricbuzz.com/profiles/1447065/aniket-verma,,,,,,,,,,Indian
78,Rajat Patidar,Royal Challengers Bengaluru,Batsman,BAT,BAT_WK,C,69,24.0,81.0,77.0,51,42.0,1111.0,154.31,30.86,0,https://www.cricbuzz.com/profiles/10636/rajat-patidar,,,,,,,,,,Indian
144,Vijaykumar Vyshak,Punjab Kings,Bowler,BOWL,BOWL,C,57,,,,38,16.0,,,,0,https://www.cricbuzz.com/profiles/10486/vijaykumar-vyshak,14.0,33.0,66.0,17.0,10.38,33.88,,,,Indian
44,Khaleel Ahmed,Chennai Super Kings,Bowler,BOWL,BOWL,B,77,,,,65,71.0,,,,0,https://www.cricbuzz.com/profiles/10952/khaleel-ahmed,61.0,56.0,82.0,89.0,8.98,26.16,,,,Indian
83,Jason Holder,Gujarat Titans,Bowling Allrounder,AR,AR,C,68,,,,53,46.0,259.0,,,2,https://www.cricbuzz.com/profiles/8313/jason-holder,,,,53.0,,,32.0,45.0,32.0,West Indian
31,Manish Pandey,Kolkata Knight Riders,Batsman,BAT,BAT_WK,B,82,76.0,59.0,73.0,99,174.0,3942.0,121.52,29.42,0,https://www.cricbuzz.com/profiles/1836/manish-pandey,,,,,,,,,,Indian
91,Shahrukh Khan,Gujarat Titans,Batting Allrounder,AR,AR,C,67,,,,57,55.0,732.0,,,0,https://www.cricbuzz.com/profiles/10226/shahrukh-khan,,,,1.0,,,56.0,27.0,27.0,Indian
67,Ayush Badoni,Lucknow Super Giants,Batting Allrounder,AR,AR,B,71,,,,58,56.0,963.0,,,0,https://www.cricbuzz.com/profiles/13907/ayush-badoni,,,,4.0,,,63.0,37.0,37.0,Indian
153,Urvil Patel,Chennai Super Kings,WK-Batsman,WK,BAT_WK,C,56,5.0,99.0,57.0,31,3.0,68.0,212.5,22.67,0,https://www.cricbuzz.com/profiles/13476/urvil-patel,,,,,,,,,,Indian
105,Mukesh Kumar,Delhi Capitals,Bowler,BOWL,BOWL,C,64,,,,46,32.0,,,,0,https://www.cricbuzz.com/profiles/10754/mukesh-kumar,27.0,33.0,73.0,36.0,10.4,30.61,,,,Indian
86,Mayank Markande,Mumbai Indians,Bowler,BOWL,BOWL,C,67,,,,48,37.0,,,,0,https://www.cricbuzz.com/profiles/12627/mayank-markande,27.0,57.0,76.0,37.0,8.91,28.89,,,,Indian
38,Shardul Thakur,Mumbai Indians,Bowling Allrounder,AR,AR,B,78,,,,82,105.0,325.0,,,6,https://www.cricbuzz.com/profiles/8683/shardul-thakur,,,,107.0,,,38.0,59.0,38.0,Indian
55,Mitchell Starc,Delhi Capitals,Bowler,BOWL,BOWL,B,73,,,,55,51.0,,,,0,https://www.cricbuzz.com/profiles/7710/mitchell-starc,45.0,62.0,88.0,65.0,8.61,23.12,,,,Australian
131,Romario Shepherd,Royal Challengers Bengaluru,Bowling Allrounder,AR,AR,C,60,,,,39,18.0,185.0,,,0,https://www.cricbuzz.com/profiles/13646/romario-shepherd,,,,10.0,,,52.0,18.0,18.0,West Indian
20,Jos Buttler,Gujarat Titans,WK-Batsman,WK,BAT_WK,A,88,79.0,78.0,99.0,90,121.0,4120.0,149.39,40.0,2,https://www.cricbuzz.com/profiles/2258/jos-buttler,,,,,,,,,,English
120,Ravisrinivasan Sai Kishore,Gujarat Titans,Bowling Allrounder,AR,AR,C,61,,,,42,25.0,18.0,,,0,https://www.cricbuzz.com/profiles/11595/ravisrinivasan-sai-kishore,,,,32.0,,,19.0,41.0,19.0,Indian
113,Marco Jansen,Punjab Kings,Bowling Allrounder,AR,AR,C,62,,,,47,35.0,141.0,,,0,https://www.cricbuzz.com/profiles/14565/marco-jansen,,,,36.0,,,26.0,36.0,26.0,South African
4,Sunil Narine,Kolkata Knight Riders,Bowling Allrounder,AR,AR,A,98,,,,99,188.0,1780.0,,,10,https://www.cricbuzz.com/profiles/2276/sunil-narine,,,,192.0,,,84.0,83.0,83.0,West Indian
108,Rovman Powell,Kolkata Knight Riders,Batsman,BAT,BAT_WK,C,63,11.0,76.0,46.0,44,28.0,365.0,146.59,18.25,0,https://www.cricbuzz.com/profiles/11445/rovman-powell,,,,,,,,,,West Indian
93,Washington Sundar,Gujarat Titans,Bowling Allrounder,AR,AR,C,67,,,,63,66.0,511.0,,,0,https://www.cricbuzz.com/profiles/10945/washington-sundar,,,,39.0,,,42.0,40.0,40.0,Indian
146,Anshul Kamboj,Chennai Super Kings,Bowling Allrounder,AR,AR,C,57,,,,35,11.0,16.0,,,0,https://www.cricbuzz.com/profiles/14598/anshul-kamboj,,,,10.0,,,21.0,30.0,21.0,Indian
145,Akash Maharaj Singh,Lucknow Super Giants,Bowler,BOWL,BOWL,C,57,,,,35,10.0,,,,0,https://www.cricbuzz.com/profiles/14696/akash-maharaj-singh,9.0,47.0,61.0,9.0,9.54,36.22,,,,Indian
71,Matheesha Pathirana,Kolkata Knight Riders,Bowler,BOWL,BOWL,B,70,,,,46,32.0,,,,0,https://www.cricbuzz.com/profiles/16458/matheesha-pathirana,34.0,61.0,92.0,47.0,8.68,21.62,,,,Sri Lankan
74,Devdutt Padikkal,Royal Challengers Bengaluru,Batsman,BAT,BAT_WK,B,70,37.0,62.0,64.0,67,74.0,1806.0,126.3,25.44,0,https://www.cricbuzz.com/profiles/13088/devdutt-padikkal,,,,,,,,,,Indian
124,Shubham Dubey,Rajasthan Royals,Batsman,BAT,BAT_WK,C,61,6.0,87.0,58.0,36,13.0,139.0,163.53,23.17,0,https://www.cricbuzz.com/profiles/19328/shubham-dubey,,,,,,,,,,Indian
68,Anrich Nortje,Lucknow Super Giants,Bowler,BOWL,BOWL,B,71,,,,54,48.0,,,,0,https://www.cricbuzz.com/profiles/11427/anrich-nortje,43.0,55.0,80.0,61.0,9.07,27.16,,,,South African
35,Deepak Chahar,Mumbai Indians,Bowler,BOWL,BOWL,B,78,,,,77,95.0,,,,0,https://www.cricbuzz.com/profiles/7836/deepak-chahar,60.0,70.0,75.0,88.0,8.14,29.51,,,,Indian
28,Kuldeep Yadav,Delhi Capitals,Bowler,BOWL,BOWL,B,83,,,,79,98.0,,,,2,https://www.cricbuzz.com/profiles/8292/kuldeep-yadav,69.0,71.0,80.0,102.0,8.04,26.95,,,,Indian
102,Angkrish Raghuvanshi,Kolkata Knight Riders,Batsman,BAT,BAT_WK,C,65,12.0,75.0,72.0,41,22.0,463.0,144.69,28.94,0,https://www.cricbuzz.com/profiles/22566/angkrish-raghuvanshi,,,,,,,,,,Indian
106,Sarfaraz Khan,Chennai Super Kings,Batsman,BAT,BAT_WK,C,64,15.0,65.0,56.0,55,50.0,585.0,130.59,22.5,0,https://www.cricbuzz.com/profiles/9429/sarfaraz-khan,,,,,,,,,,Indian
52,Rahul Tripathi,Kolkata Knight Riders,Batsman,BAT,BAT_WK,B,74,46.0,70.0,65.0,80,100.0,2291.0,137.85,26.03,0,https://www.cricbuzz.com/profiles/9012/rahul-tripathi,,,,,,,,,,Indian
130,Sameer Rizvi,Delhi Capitals,Batsman,BAT,BAT_WK,C,60,7.0,72.0,61.0,36,13.0,172.0,140.99,24.57,0,https://www.cricbuzz.com/profiles/14700/sameer-rizvi,,,,,,,,,,Indian
18,Rashid Khan,Gujarat Titans,Bowling Allrounder,AR,AR,A,89,,,,98,136.0,585.0,,,8,https://www.cricbuzz.com/profiles/10738/rashid-khan,,,,158.0,,,51.0,82.0,51.0,Afghan
62,Shimron Hetmyer,Rajasthan Royals,Batsman,BAT,BAT_WK,B,72,31.0,79.0,72.0,73,86.0,1482.0,151.85,29.06,0,https://www.cricbuzz.com/profiles/9789/shimron-hetmyer,,,,,,,,,,West Indian
79,Prabhsimran Singh,Punjab Kings,WK-Batsman,WK,BAT_WK,C,69,28.0,79.0,64.0,55,51.0,1305.0,151.93,25.59,0,https://www.cricbuzz.com/profiles/14254/prabhsimran-singh,,,,,,,,,,Indian
141,Eshan Malinga,Sunrisers Hyderabad,Bowler,BOWL,BOWL,C,58,,,,33,7.0,,,,0,https://www.cricbuzz.com/profiles/46926/eshan-malinga,12.0,57.0,99.0,13.0,8.93,18.31,,,,Indian
40,Rahul Chahar,Chennai Super Kings,Bowler,BOWL,BOWL,B,77,,,,69,79.0,,,,0,https://www.cricbuzz.com/profiles/12087/rahul-chahar,52.0,76.0,77.0,75.0,7.72,28.67,,,,Indian
65,Tilak Varma,Mumbai Indians,Batsman,BAT,BAT_WK,B,72,31.0,74.0,93.0,57,54.0,1499.0,144.42,37.48,0,https://www.cricbuzz.com/profiles/14504/tilak-varma,,,,,,,,,,Indian
99,Yash Dayal,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,C,66,,,,51,43.0,,,,0,https://www.cricbuzz.com/profiles/14172/yash-dayal,30.0,46.0,66.0,41.0,9.58,33.9,,,,Indian
16,Suryakumar Yadav,Mumbai Indians,Batsman,BAT,BAT_WK,A,89,82.0,77.0,87.0,99,166.0,4311.0,148.66,35.05,2,https://www.cricbuzz.com/profiles/7915/suryakumar-yadav,,,,,,,,,,Indian
138,Azmatullah Omarzai,Punjab Kings,Bowling Allrounder,AR,AR,C,58,,,,38,16.0,99.0,,,0,https://www.cricbuzz.com/profiles/13214/azmatullah-omarzai,,,,12.0,,,31.0,25.0,25.0,Afghan
136,Arshad Khan,Gujarat Titans,Bowling Allrounder,AR,AR,C,58,,,,39,19.0,124.0,,,0,https://www.cricbuzz.com/profiles/18637/arshad-khan,,,,12.0,,,39.0,18.0,18.0,Indian
22,Kagiso Rabada,Gujarat Titans,Bowler,BOWL,BOWL,A,85,,,,72,84.0,,,,2,https://www.cricbuzz.com/profiles/9585/kagiso-rabada,80.0,62.0,89.0,119.0,8.62,22.96,,,,South African
72,Aiden Markram,Lucknow Super Giants,Batsman,BAT,BAT_WK,B,70,30.0,68.0,78.0,58,57.0,1440.0,135.09,31.3,0,https://www.cricbuzz.com/profiles/9582/aiden-markram,,,,,,,,,,South African
