Rank,Player,Team,Role,Category,Pool,Grade,Rating,Sub_Scoring,Sub_Impact,Sub_Consistency,Sub_Experience,Matches,Bat_Runs,Bat_SR,Bat_Average,Legacy,URL,Sub_WicketTaking,Sub_Economy,Sub_Efficiency,Bowl_Wickets,Bowl_Eco,Bowl_Avg,Sub_Batting,Sub_Bowling,Sub_Versatility,Nationality
30,Rishabh Pant,Lucknow Super Giants,WK-Batsman,WK,BAT_WK,B,82,68.0,76.0,85.0,92,125.0,3553.0,147.62,34.16,0,https://www.cricbuzz.com/profiles/10744/rishabh-pant,,,,,,,,,,Indian
31,Manish Pandey,Kolkata Knight Riders,Batsman,BAT,BAT_WK,B,82,76.0,59.0,73.0,99,174.0,3942.0,121.52,29.42,0,https://www.cricbuzz.com/profiles/1836/manish-pandey,,,,,,,,,,Indian
32,David Miller,Delhi Capitals,Batsman,BAT,BAT_WK,B,80,60.0,70.0,89.0,99,141.0,3077.0,138.61,35.78,0,https://www.cricbuzz.com/profiles/6349/david-miller,,,,,,,,,,South African
33,Ishant Sharma,Gujarat Titans,Bowler,BOWL,BOWL,B,79,,,,88,117.0,,,,0,https://www.cricbuzz.com/profiles/702/ishant-sharma,65.0,66.0,63.0,96.0,8.38,35.18,,,,Indian
34,Quinton de Kock,Mumbai Indians,WK-Batsman,WK,BAT_WK,B,79,64.0,67.0,76.0,87,115.0,3309.0,134.03,30.64,0,https://www.cricbuzz.com/profiles/8520/quinton-de-kock,,,,,,,,,,South African
35,Deepak Chahar,Mumbai Indians,Bowler,BOWL,BOWL,B,78,,,,77,95.0,,,,0,https://www.cricbuzz.com/profiles/7836/deepak-chahar,60.0,70.0,75.0,88.0,8.14,29.51,,,,Indian
36,Arshdeep Singh,Punjab Kings,Bowler,BOWL,BOWL,B,78,,,,71,82.0,,,,0,https://www.cricbuzz.com/profiles/13217/arshdeep-singh,66.0,56.0,81.0,97.0,9.0,26.49,,,,Indian
37,Ishan Kishan,Sunrisers Hyderabad,WK-Batsman,WK,BAT_WK,B,78,58.0,70.0,72.0,89,119.0,2998.0,137.65,29.11,0,https://www.cricbuzz.com/profiles/10276/ishan-kishan,,,,,,,,,,Indian
38,Shardul Thakur,Mumbai Indians,Bowling Allrounder,AR,AR,B,78,,,,82,105.0,325.0,,,6,https://www.cricbuzz.com/profiles/8683/shardul-thakur,,,,107.0,,,38.0,59.0,38.0,Indian
39,Nicholas Pooran,Lucknow Super Giants,WK-Batsman,WK,BAT_WK,B,78,46.0,91.0,85.0,75,90.0,2293.0,168.98,34.22,0,https://www.cricbuzz.com/profiles/9406/nicholas-pooran,,,,,,,,,,West Indian
40,Rahul Chahar,Chennai Super Kings,Bowler,BOWL,BOWL,B,77,,,,69,79.0,,,,0,https://www.cricbuzz.com/profiles/12087/rahul-chahar,52.0,76.0,77.0,75.0,7.72,28.67,,,,Indian
41,Nitish Rana,Delhi Capitals,Batsman,BAT,BAT_WK,B,77,56.0,69.0,69.0,89,118.0,2853.0,136.77,27.7,0,https://www.cricbuzz.com/profiles/9204/nitish-rana,,,,,,,,,,Indian
42,Ruturaj Gaikwad,Chennai Super Kings,Batsman,BAT,BAT_WK,B,77,49.0,70.0,99.0,65,71.0,2502.0,137.48,40.35,0,https://www.cricbuzz.com/profiles/11813/ruturaj-gaikwad,,,,,,,,,,Indian
43,Abhishek Sharma,Sunrisers Hyderabad,Batting Allrounder,AR,AR,B,77,,,,68,77.0,1815.0,,,2,https://www.cricbuzz.com/profiles/12086/abhishek-sharma,,,,11.0,,,90.0,24.0,24.0,Indian
44,Khaleel Ahmed,Chennai Super Kings,Bowler,BOWL,BOWL,B,77,,,,65,71.0,,,,0,https://www.cricbuzz.com/profiles/10952/khaleel-ahmed,61.0,56.0,82.0,89.0,8.98,26.16,,,,Indian
45,Shivam Dube,Chennai Super Kings,Batting Allrounder,AR,AR,B,76,,,,69,79.0,1859.0,,,2,https://www.cricbuzz.com/profiles/11195/shivam-dube,,,,5.0,,,88.0,20.0,20.0,Indian
46,Avesh Khan,Lucknow Super Giants,Bowler,BOWL,BOWL,B,76,,,,67,75.0,,,,0,https://www.cricbuzz.com/profiles/9781/avesh-khan,60.0,54.0,77.0,87.0,9.12,28.29,,,,Indian
47,Yashasvi Jaiswal,Rajasthan Royals,Batsman,BAT,BAT_WK,B,75,43.0,80.0,85.0,63,66.0,2166.0,152.86,34.38,0,https://www.cricbuzz.com/profiles/13940/yashasvi-jaiswal,,,,,,,,,,Indian
48,Pat Cummins,Sunrisers Hyderabad,Bowler,BOWL,BOWL,B,75,,,,66,72.0,,,,0,https://www.cricbuzz.com/profiles/8095/pat-cummins,54.0,59.0,74.0,79.0,8.81,30.04,,,,Australian
49,Ravi Bishnoi,Rajasthan Royals,Bowler,BOWL,BOWL,B,75,,,,68,77.0,,,,0,https://www.cricbuzz.com/profiles/14659/ravi-bishnoi,50.0,68.0,72.0,72.0,8.22,31.07,,,,Indian
50,Mitchell Marsh,Lucknow Super Giants,Batting Allrounder,AR,AR,B,74,,,,57,55.0,1292.0,,,0,https://www.cricbuzz.com/profiles/6250/mitchell-marsh,,,,37.0,,,72.0,43.0,43.0,Australian
51,Sam Curran,Rajasthan Royals,Bowling Allrounder,AR,AR,B,74,,,,62,64.0,997.0,,,2,https://www.cricbuzz.com/profiles/10420/sam-curran,,,,59.0,,,62.0,41.0,41.0,English
52,Rahul Tripathi,Kolkata Knight Riders,Batsman,BAT,BAT_WK,B,74,46.0,70.0,65.0,80,100.0,2291.0,137.85,26.03,0,https://www.cricbuzz.com/profiles/9012/rahul-tripathi,,,,,,,,,,Indian
53,Prasidh Krishna,Gujarat Titans,Bowler,BOWL,BOWL,B,74,,,,63,66.0,,,,0,https://www.cricbuzz.com/profiles/10551/prasidh-krishna,51.0,59.0,75.0,74.0,8.77,29.61,,,,Indian
54,Heinrich Klaasen,Sunrisers Hyderabad,WK-Batsman,WK,BAT_WK,B,74,31.0,91.0,99.0,54,49.0,1480.0,169.73,40.0,0,https://www.cricbuzz.com/profiles/10209/heinrich-klaasen,,,,,,,,,,South African
55,Mitchell Starc,Delhi Capitals,Bowler,BOWL,BOWL,B,73,,,,55,51.0,,,,0,https://www.cricbuzz.com/profiles/7710/mitchell-starc,45.0,62.0,88.0,65.0,8.61,23.12,,,,Australian
56,Josh Hazlewood,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,B,73,,,,49,39.0,,,,0,https://www.cricbuzz.com/profiles/6258/josh-hazlewood,40.0,67.0,93.0,57.0,8.28,20.98,,,,Australian
57,Jofra Archer,Rajasthan Royals,Bowler,BOWL,BOWL,B,73,,,,56,52.0,,,,0,https://www.cricbuzz.com/profiles/11540/jofra-archer,41.0,74.0,80.0,59.0,7.89,27.15,,,,English
58,Riyan Parag,Rajasthan Royals,Batting Allrounder,AR,AR,B,73,,,,71,83.0,1566.0,,,2,https://www.cricbuzz.com/profiles/12305/riyan-parag,,,,7.0,,,78.0,16.0,16.0,Indian
59,Rahul Tewatia,Gujarat Titans,Batting Allrounder,AR,AR,B,73,,,,84,108.0,1112.0,,,0,https://www.cricbuzz.com/profiles/9693/rahul-tewatia,,,,32.0,,,64.0,38.0,38.0,Indian
60,Noor Ahmad,Chennai Super Kings,Bowler,BOWL,BOWL,B,72,,,,48,37.0,,,,0,https://www.cricbuzz.com/profiles/15452/noor-ahmad,34.0,71.0,90.0,48.0,8.08,22.23,,,,Afghan
61,Travis Head,Sunrisers Hyderabad,Batsman,BAT,BAT_WK,B,72,25.0,92.0,86.0,49,38.0,1146.0,170.03,34.73,0,https://www.cricbuzz.com/profiles/8497/travis-head,,,,,,,,,,Australian
62,Shimron Hetmyer,Rajasthan Royals,Batsman,BAT,BAT_WK,B,72,31.0,79.0,72.0,73,86.0,1482.0,151.85,29.06,0,https://www.cricbuzz.com/profiles/9789/shimron-hetmyer,,,,,,,,,,West Indian
63,T Natarajan,Delhi Capitals,Bowler,BOWL,BOWL,B,72,,,,61,63.0,,,,0,https://www.cricbuzz.com/profiles/10225/t-natarajan,47.0,57.0,74.0,67.0,8.94,30.12,,,,Indian
64,Shreyas Gopal,Chennai Super Kings,Bowler,BOWL,BOWL,B,72,,,,56,52.0,,,,0,https://www.cricbuzz.com/profiles/9746/shreyas-gopal,37.0,69.0,83.0,52.0,8.16,25.92,,,,Indian
65,Tilak Varma,Mumbai Indians,Batsman,BAT,BAT_WK,B,72,31.0,74.0,93.0,57,54.0,1499.0,144.42,37.48,0,https://www.cricbuzz.com/profiles/14504/tilak-varma,,,,,,,,,,Indian
66,Philip Salt,Royal Challengers Bengaluru,WK-Batsman,WK,BAT_WK,B,71,23.0,95.0,84.0,47,34.0,1056.0,175.71,34.06,0,https://www.cricbuzz.com/profiles/10479/philip-salt,,,,,,,,,,English
67,Ayush Badoni,Lucknow Super Giants,Batting Allrounder,AR,AR,B,71,,,,58,56.0,963.0,,,0,https://www.cricbuzz.com/profiles/13907/ayush-badoni,,,,4.0,,,63.0,37.0,37.0,Indian
68,Anrich Nortje,Lucknow Super Giants,Bowler,BOWL,BOWL,B,71,,,,54,48.0,,,,0,https://www.cricbuzz.com/profiles/11427/anrich-nortje,43.0,55.0,80.0,61.0,9.07,27.16,,,,South African
69,Liam Livingstone,Sunrisers Hyderabad,Batting Allrounder,AR,AR,B,70,,,,54,49.0,1051.0,,,0,https://www.cricbuzz.com/profiles/10045/liam-livingstone,,,,13.0,,,70.0,28.0,28.0,English
70,Venkatesh Iyer,Royal Challengers Bengaluru,Batting Allrounder,AR,AR,B,70,,,,60,61.0,1468.0,,,0,https://www.cricbuzz.com/profiles/10917/venkatesh-iyer,,,,3.0,,,77.0,16.0,16.0,Indian
71,Matheesha Pathirana,Kolkata Knight Riders,Bowler,BOWL,BOWL,B,70,,,,46,32.0,,,,0,https://www.cricbuzz.com/profiles/16458/matheesha-pathirana,34.0,61.0,92.0,47.0,8.68,21.62,,,,Sri Lankan
72,Aiden Markram,Lucknow Super Giants,Batsman,BAT,BAT_WK,B,70,30.0,68.0,78.0,58,57.0,1440.0,135.09,31.3,0,https://www.cricbuzz.com/profiles/9582/aiden-markram,,,,,,,,,,South African
73,Tim David,Royal Challengers Bengaluru,Batsman,BAT,BAT_WK,B,70,19.0,94.0,81.0,55,50.0,846.0,173.37,32.54,0,https://www.cricbuzz.com/profiles/13169/tim-david,,,,,,,,,,Singaporean
74,Devdutt Padikkal,Royal Challengers Bengaluru,Batsman,BAT,BAT_WK,B,70,37.0,62.0,64.0,67,74.0,1806.0,126.3,25.44,0,https://www.cricbuzz.com/profiles/13088/devdutt-padikkal,,,,,,,,,,Indian
75,Karun Nair,Delhi Capitals,Batsman,BAT,BAT_WK,B,70,35.0,66.0,60.0,72,84.0,1694.0,131.73,23.86,0,https://www.cricbuzz.com/profiles/8257/karun-nair,,,,,,,,,,Indian
76,Tristan Stubbs,Delhi Capitals,WK-Batsman,WK,BAT_WK,B,70,17.0,87.0,99.0,46,32.0,705.0,163.2,41.47,0,https://www.cricbuzz.com/profiles/19243/tristan-stubbs,,,,,,,,,,South African
77,Rinku Singh,Kolkata Knight Riders,Batsman,BAT,BAT_WK,C,69,24.0,75.0,76.0,59,58.0,1099.0,145.18,30.53,0,https://www.cricbuzz.com/profiles/10896/rinku-singh,,,,,,,,,,Indian
78,Rajat Patidar,Royal Challengers Bengaluru,Batsman,BAT,BAT_WK,C,69,24.0,81.0,77.0,51,42.0,1111.0,154.31,30.86,0,https://www.cricbuzz.com/profiles/10636/rajat-patidar,,,,,,,,,,Indian
79,Prabhsimran Singh,Punjab Kings,WK-Batsman,WK,BAT_WK,C,69,28.0,79.0,64.0,55,51.0,1305.0,151.93,25.59,0,https://www.cricbuzz.com/profiles/14254/prabhsimran-singh,,,,,,,,,,Indian
80,Lockie Ferguson,Punjab Kings,Bowler,BOWL,BOWL,C,69,,,,54,49.0,,,,0,https://www.cricbuzz.com/profiles/10692/lockie-ferguson,36.0,56.0,74.0,51.0,8.97,30.0,,,,New Zealander
81,Harpreet Brar,Punjab Kings,Bowler,BOWL,BOWL,C,68,,,,54,49.0,,,,0,https://www.cricbuzz.com/profiles/14452/harpreet-brar,26.0,71.0,72.0,35.0,8.03,31.0,,,,Indian
82,Jitesh Sharma,Royal Challengers Bengaluru,WK-Batsman,WK,BAT_WK,C,68,22.0,83.0,63.0,57,55.0,991.0,157.06,25.41,0,https://www.cricbuzz.com/profiles/10214/jitesh-sharma,,,,,,,,,,Indian
83,Jason Holder,Gujarat Titans,Bowling Allrounder,AR,AR,C,68,,,,53,46.0,259.0,,,2,https://www.cricbuzz.com/profiles/8313/jason-holder,,,,53.0,,,32.0,45.0,32.0,West Indian
84,Cameron Green,Kolkata Knight Riders,Batting Allrounder,AR,AR,C,68,,,,44,29.0,707.0,,,0,https://www.cricbuzz.com/profiles/12225/cameron-green,,,,16.0,,,64.0,27.0,27.0,Australian
85,Mohsin Khan,Lucknow Super Giants,Bowler,BOWL,BOWL,C,67,,,,42,24.0,,,,0,https://www.cricbuzz.com/profiles/13534/mohsin-khan,21.0,64.0,83.0,27.0,8.51,25.52,,,,Indian
86,Mayank Markande,Mumbai Indians,Bowler,BOWL,BOWL,C,67,,,,48,37.0,,,,0,https://www.cricbuzz.com/profiles/12627/mayank-markande,27.0,57.0,76.0,37.0,8.91,28.89,,,,Indian
87,Tushar Deshpande,Rajasthan Royals,Bowler,BOWL,BOWL,C,67,,,,53,46.0,,,,0,https://www.cricbuzz.com/profiles/11307/tushar-deshpande,36.0,42.0,72.0,51.0,9.84,31.04,,,,Indian
88,Harshit Rana,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,67,,,,46,33.0,,,,0,https://www.cricbuzz.com/profiles/24729/harshit-rana,29.0,47.0,83.0,40.0,9.51,25.73,,,,Indian
89,Dhruv Jurel,Rajasthan Royals,WK-Batsman,WK,BAT_WK,C,67,16.0,81.0,71.0,50,41.0,680.0,153.85,28.33,0,https://www.cricbuzz.com/profiles/14691/dhruv-jurel,,,,,,,,,,Indian
90,Naman Dhir,Mumbai Indians,Batsman,BAT,BAT_WK,C,67,11.0,99.0,70.0,41,23.0,392.0,180.65,28.0,0,https://www.cricbuzz.com/profiles/36139/naman-dhir,,,,,,,,,,Indian
91,Shahrukh Khan,Gujarat Titans,Batting Allrounder,AR,AR,C,67,,,,57,55.0,732.0,,,0,https://www.cricbuzz.com/profiles/10226/shahrukh-khan,,,,1.0,,,56.0,27.0,27.0,Indian
92,Shashank Singh,Punjab Kings,Batting Allrounder,AR,AR,C,67,,,,50,41.0,773.0,,,0,https://www.cricbuzz.com/profiles/10919/shashank-singh,,,,1.0,,,67.0,14.0,14.0,Indian
93,Washington Sundar,Gujarat Titans,Bowling Allrounder,AR,AR,C,67,,,,63,66.0,511.0,,,0,https://www.cricbuzz.com/profiles/10945/washington-sundar,,,,39.0,,,42.0,40.0,40.0,Indian
94,Will Jacks,Mumbai Indians,Batting Allrounder,AR,AR,C,66,,,,40,21.0,463.0,,,0,https://www.cricbuzz.com/profiles/12258/will-jacks,,,,8.0,,,55.0,28.0,28.0,English
95,Nehal Wadhera,Punjab Kings,Batsman,BAT,BAT_WK,C,66,17.0,73.0,66.0,48,36.0,719.0,142.95,26.63,0,https://www.cricbuzz.com/profiles/13915/nehal-wadhera,,,,,,,,,,Indian
96,Vaibhav Arora,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,66,,,,46,32.0,,,,0,https://www.cricbuzz.com/profiles/15861/vaibhav-arora,27.0,47.0,78.0,36.0,9.55,28.22,,,,Indian
97,Ramandeep Singh,Kolkata Knight Riders,Batting Allrounder,AR,AR,C,66,,,,45,30.0,217.0,,,0,https://www.cricbuzz.com/profiles/12337/ramandeep-singh,,,,6.0,,,46.0,35.0,35.0,Indian
98,Shivam Mavi,Sunrisers Hyderabad,Bowler,BOWL,BOWL,C,66,,,,46,32.0,,,,0,https://www.cricbuzz.com/profiles/12345/shivam-mavi,23.0,60.0,71.0,30.0,8.71,31.4,,,,Indian
99,Yash Dayal,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,C,66,,,,51,43.0,,,,0,https://www.cricbuzz.com/profiles/14172/yash-dayal,30.0,46.0,66.0,41.0,9.58,33.9,,,,Indian
100,Abishek Porel,Delhi Capitals,WK-Batsman,WK,BAT_WK,C,66,16.0,78.0,63.0,45,31.0,661.0,149.89,25.42,0,https://www.cricbuzz.com/profiles/24326/abishek-porel,,,,,,,,,,Indian
101,Umran Malik,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,65,,,,43,26.0,,,,0,https://www.cricbuzz.com/profiles/19027/umran-malik,22.0,49.0,81.0,29.0,9.4,26.62,,,,Indian
102,Angkrish Raghuvanshi,Kolkata Knight Riders,Batsman,BAT,BAT_WK,C,65,12.0,75.0,72.0,41,22.0,463.0,144.69,28.94,0,https://www.cricbuzz.com/profiles/22566/angkrish-raghuvanshi,,,,,,,,,,Indian
103,Priyansh Arya,Punjab Kings,Batsman,BAT,BAT_WK,C,64,13.0,98.0,70.0,38,17.0,475.0,179.25,27.94,0,https://www.cricbuzz.com/profiles/14689/priyansh-arya,,,,,,,,,,Indian
104,Lungi Ngidi,Delhi Capitals,Bowler,BOWL,BOWL,C,64,,,,38,16.0,,,,0,https://www.cricbuzz.com/profiles/9603/lungi-ngidi,22.0,63.0,99.0,29.0,8.53,18.24,,,,South African
105,Mukesh Kumar,Delhi Capitals,Bowler,BOWL,BOWL,C,64,,,,46,32.0,,,,0,https://www.cricbuzz.com/profiles/10754/mukesh-kumar,27.0,33.0,73.0,36.0,10.4,30.61,,,,Indian
106,Sarfaraz Khan,Chennai Super Kings,Batsman,BAT,BAT_WK,C,64,15.0,65.0,56.0,55,50.0,585.0,130.59,22.5,0,https://www.cricbuzz.com/profiles/9429/sarfaraz-khan,,,,,,,,,,Indian
107,Shahbaz Ahmed,Lucknow Super Giants,Bowling Allrounder,AR,AR,C,64,,,,59,58.0,545.0,,,0,https://www.cricbuzz.com/profiles/14606/shahbaz-ahmed,,,,22.0,,,43.0,27.0,27.0,Indian
108,Rovman Powell,Kolkata Knight Riders,Batsman,BAT,BAT_WK,C,63,11.0,76.0,46.0,44,28.0,365.0,146.59,18.25,0,https://www.cricbuzz.com/profiles/11445/rovman-powell,,,,,,,,,,West Indian
109,Abdul Samad,Lucknow Super Giants,Batting Allrounder,AR,AR,C,63,,,,61,63.0,741.0,,,0,https://www.cricbuzz.com/profiles/14628/abdul-samad,,,,2.0,,,57.0,5.0,5.0,Indian
110,Josh Inglis,Lucknow Super Giants,WK-Batsman,WK,BAT_WK,C,63,9.0,87.0,77.0,35,11.0,278.0,162.58,30.89,0,https://www.cricbuzz.com/profiles/10637/josh-inglis,,,,,,,,,,Australian
111,Ryan Rickelton,Mumbai Indians,WK-Batsman,WK,BAT_WK,C,62,11.0,79.0,74.0,37,14.0,388.0,150.98,29.85,0,https://www.cricbuzz.com/profiles/13070/ryan-rickelton,,,,,,,,,,South African
112,Nitish Kumar Reddy,Sunrisers Hyderabad,Batting Allrounder,AR,AR,C,62,,,,44,28.0,485.0,,,0,https://www.cricbuzz.com/profiles/14701/nitish-kumar-reddy,,,,5.0,,,50.0,14.0,14.0,Indian
113,Marco Jansen,Punjab Kings,Bowling Allrounder,AR,AR,C,62,,,,47,35.0,141.0,,,0,https://www.cricbuzz.com/profiles/14565/marco-jansen,,,,36.0,,,26.0,36.0,26.0,South African
114,Mitchell Santner,Mumbai Indians,Bowling Allrounder,AR,AR,C,62,,,,45,31.0,110.0,,,0,https://www.cricbuzz.com/profiles/10100/mitchell-santner,,,,25.0,,,25.0,40.0,25.0,New Zealander
115,Rachin Ravindra,Kolkata Knight Riders,Batting Allrounder,AR,AR,C,62,,,,39,18.0,413.0,,,0,https://www.cricbuzz.com/profiles/11177/rachin-ravindra,,,,0.0,,,49.0,29.0,29.0,New Zealander
116,Sherfane Rutherford,Mumbai Indians,Batting Allrounder,AR,AR,C,62,,,,41,23.0,397.0,,,0,https://www.cricbuzz.com/profiles/13748/sherfane-rutherford,,,,1.0,,,48.0,17.0,17.0,West Indian
117,Dewald Brevis,Chennai Super Kings,Batsman,BAT,BAT_WK,C,62,12.0,80.0,71.0,38,16.0,455.0,153.2,28.44,0,https://www.cricbuzz.com/profiles/20538/dewald-brevis,,,,,,,,,,South African
118,Aniket Verma,Sunrisers Hyderabad,Batsman,BAT,BAT_WK,C,62,8.0,89.0,65.0,37,14.0,236.0,166.2,26.22,0,https://www.cricbuzz.com/profiles/1447065/aniket-verma,,,,,,,,,,Indian
119,Wanindu Hasaranga,Lucknow Super Giants,Bowling Allrounder,AR,AR,C,62,,,,48,37.0,81.0,,,0,https://www.cricbuzz.com/profiles/10926/wanindu-hasaranga,,,,46.0,,,15.0,45.0,15.0,Sri Lankan
120,Ravisrinivasan Sai Kishore,Gujarat Titans,Bowling Allrounder,AR,AR,C,61,,,,42,25.0,18.0,,,0,https://www.cricbuzz.com/profiles/11595/ravisrinivasan-sai-kishore,,,,32.0,,,19.0,41.0,19.0,Indian
121,Suyash Sharma,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,C,61,,,,43,27.0,,,,0,https://www.cricbuzz.com/profiles/36487/suyash-sharma,15.0,60.0,41.0,18.0,8.75,45.22,,,,Indian
